SubjectID	__id__	timestamp	x	y	z	Clase
56	HHU5SeyDGxM5XwVpEssj	2024-11-22T12:03:22.260805	-0.69160825	3.185485363	6.192296505	0
57	HgseQ3TRpvSInVjLNbhi	2024-11-22T12:03:19.283140	-1.379347563	2.224155903	7.639313698	0
58	IxaWT4CKY3xLB3qQFunt	2024-11-22T12:03:18.887276	-1.286040664	3.834084272	7.707673073	0
59	LDWi3Tw4B6ENzO0aBM2G	2024-11-22T12:03:20.871321	-0.138164595	3.877936363	7.076704502	0
60	LOA4NSQMlDnbOrTukFPl	2024-11-22T12:03:23.259529	-0.947088718	4.039238453	6.418318272	0
61	MG4I74KzU6gmRa5VHkd3	2024-11-22T12:03:22.858793	-1.683506846	4.890003681	7.483402729	0
62	NP4J2f2Wdx4JdApt3sjo	2024-11-22T12:03:23.651499	-0.063580424	3.551960945	10.14867592	0
63	P0znbpJ0oNGmHUUzxThi	2024-11-22T12:03:25.041108	-2.693467379	6.835129738	9.084712029	0
64	Qdw3P3YhOGogIp54zOQy	2024-11-22T12:03:24.842730	-0.759890854	4.532070637	5.86735487	0
65	RnkURhAnqDMEt7Dz7WSd	2024-11-22T12:03:23.060382	-1.799702287	5.187775612	8.962110519	0
66	UE9qW3uaFEiGaXy1Na4S	2024-11-22T12:03:16.507067	-1.110507369	4.418307781	8.252851486	0
67	UYMrQhtqp6xnwWGzXt2E	2024-11-22T12:03:20.477804	-1.039964557	4.780952454	9.073057175	0
68	VaaOPWKuy29uOINK7dTr	2024-11-22T12:03:19.679926	-2.038624287	3.863829851	12.15568733	0
69	VmENq3z0cLRz9NwjjNDD	2024-11-22T12:03:24.047500	-2.621622086	7.139624596	8.778924942	0
70	Xba0h4BJnAHXKAcrXeSJ	2024-11-22T12:03:17.696256	1.159243822	2.198557138	6.809052467	0
71	YtYmiwd6bLxHwjjmNtGC	2024-11-22T12:03:18.493917	-1.604268312	4.936403275	9.09579277	0
72	ajas7481wjNzQGI6MwYV	2024-11-22T12:03:21.665517	0.469914764	2.933251381	11.06216049	0
73	bH58k5ZGXPSepogSgsTU	2024-11-22T12:03:19.878401	-1.659076452	5.043165684	3.992858171	0
